opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non+AC0-void correct,cs non+AC0-void correct pct,cs non+AC0-void problem,cs non+AC0-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,155,131,84.51,0,0,113,72.9,0,0,1015,819,80.68,11,1.08,850,83.74,77,7.58
O2,vsftpd,14,14,100,0,0,14,100,0,0,318,230,72.32,3,0.94,191,60.06,31,9.74
O2,lighttpd,66,47,71.21,1,1.51,57,86.36,0,0,290,240,82.75,3,1.03,229,78.96,27,9.31
O2,nginx,266,109,40.97,33,12.4,225,84.58,0,0,921,593,64.38,0,0,782,84.9,61,6.62
O2,mysqld,7923,4370,55.15,356,4.49,6180,78,0,0,9742,5690,58.4,315,3.23,7753,79.58,587,6.02
O2,postgres,687,479,69.72,3,0.43,624,90.82,0,0,6930,5291,76.34,571,8.23,5020,72.43,560,8.08
O2,memcached,48,2,4.16,10,20.83,48,100,0,0,133,103,77.44,10,7.51,79,59.39,7,5.26
O2,node,10965,4916,44.83,1042,9.5,8843,80.64,1,0,20638,13661,66.19,433,2.09,14410,69.82,1811,8.77
