opt,target,AT,TypeArmor,IFCC,TypeShield(count),TypeShield(type)
O2,proftpd,390,376,3,382,348
O2,vsftpd,10,12,1,6,6
O2,lighttpd,59,47,6,59,59
O2,nginx,543,254,25,543,543
O2,mysqld,5883,3698,150,5513,5564
O2,postgres,2491,2304,12,2340,2332
O2,memcached,14,14,1,14,10
O2,node,7527,4714,341,5909,4578
O2,geomean,343.3,272.36,11.35,306.73,281.77
