opt,target,at,count safe avg,count safe sig,count safe median,count prec avg,count prec sig,count prec median,count* avg,count* sig,count* median,type safe avg,type safe sig,type safe median,type prec avg,type prec sig,type prec median,type* avg,type* sig,type* median
O2,proftpd,390,367.78,51.14,382.0,367.78,51.14,382.0,349.37,60.57,369.0,356.41,63.58,382.0,356.41,63.58,382.0,333.21,73.69,369.0
O2,vsftpd,10,7.14,1.8,6.0,7.14,1.8,6.0,7.14,1.8,6.0,5.42,0.9,6.0,5.42,0.9,6.0,5.42,0.9,6.0
O2,lighttpd,59,47.08,14.15,59.0,47.08,14.15,59.0,36.08,15.31,34.0,44.6,14.91,57.0,44.6,14.91,57.0,34.32,14.32,27.0
O2,nginx,543,460.59,129.15,543.0,460.59,129.15,543.0,315.01,151.2,266.0,447.32,132.79,540.0,447.32,132.79,540.0,315.01,151.2,266.0
O2,mysqld,5883,4947.11,953.06,5883.0,4947.11,953.06,5883.0,4111.02,1056.77,3167.0,4705.72,933.99,5704.0,4705.72,933.99,5704.0,3889.78,942.12,3167.0
O2,postgres,2491,2142.18,655.02,2340.0,2142.18,655.02,2340.0,2033.04,701.74,2286.0,1975.98,779.0,2332.0,1975.98,779.0,2332.0,1843.69,844.19,2286.0
O2,memcached,14,13.35,1.1,14.0,13.35,1.1,14.0,12.31,2.34,14.0,10.64,1.05,10.0,10.64,1.05,10.0,10.29,0.95,11.0
O2,node,7527,6398.24,1296.66,7527.0,6398.24,1296.66,7527.0,5056.08,1549.68,5536.0,5789.13,1431.3,7527.0,5789.13,1431.3,7527.0,4372.57,1490.15,5536.0
O2,geomean,350.0,298.0,67.0,327.0,298.0,67.0,327.0,255.0,78.0,247.0,270.0,68.0,312.0,270.0,68.0,312.0,231.0,71.0,234.0
