opt,target,AT,TypeArmor,IFCC,TypeShield(count),TypeShield(type)
O2,lighttpd,63,47,6,50,63
O2,Memcached,14,14,1,14,10
O2,Nginx,543,254,25,483,361
O2,ProFTPD,396,376,3,312,388
O2,Pure-FTPD,13,4,0,7,3
O2,vsftpd,10,12,1,6,6
O2,PostgreSQL,2504,2304,12,2029,2113
O2,MySQL,5896,3698,150,4218,2342
O2,Node.js,7230,4714,341,3892,5073
O2,geomean,239.89,170.40,11.35,174.18,150.61
