target,opt,fn,fn,not,in,clang,fn,not,in,clang,pct,fn,not,in,padyn,fn,not,in,padyn,pct,at,at,not,in,clang,at,not,in,clang,pct,at,not,in,padyn,at,not,in,padyn,pct,cs,cs,discarded,clang,cs,discarded,clang,pct,cs,discarded,padyn,cs,discarded,padyn,pct
Proftpd,O2,1202,0,0,1,0.08,395,1,0.25,0,0,157,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure-ftpd,O2,276,1,0.36,0,0,12,1,7.69,2,14.28,8,2,20,5,38.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vsftpd,O2,419,0,0,0,0,9,1,10,1,10,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lighttpd,O2,420,0,0,0,0,60,3,4.76,0,0,66,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MySqld,O2,9952,9,0.09,7,0.07,5892,4,0.06,360,5.75,8002,477,5.62,52,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postgressql,O2,7079,9,0.12,0,0,2493,11,0.43,0,0,635,80,11.18,40,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memcached,O2,248,0,0,0,0,13,1,7.14,0,0,48,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Node.js,O2,20337,926,4.35,23,0.11,7169,61,0.84,346,4.6,10502,584,5.26,261,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geomean,O2,1460.87,4.07,0.60,1.89,0.40,208.00,3.08,1.39,4.73,2.80,203.77,9.04,3.00,6.37,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
