opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O0,proftpd,174,65,37.35,0,0.0,174,100.0,0,0.0,1171,803,68.57,359,30.65,771,65.84,292,24.93
O0,vsftpd,2,0,0.0,0,0.0,2,100.0,0,0.0,391,388,99.23,0,0.0,208,53.19,90,23.01
O0,lighttpd,68,1,1.47,0,0.0,65,95.58,0,0.0,354,349,98.58,5,1.41,244,68.92,70,19.77
O0,nginx,283,26,9.18,0,0.0,265,93.63,0,0.0,1098,1004,91.43,93,8.46,666,60.65,297,27.04
O0,mysqld,6464,352,5.44,77,1.19,5980,92.51,17,0.26,13020,11193,85.96,1581,12.14,8349,64.12,2199,16.88
O0,postgres,688,100,14.53,10,1.45,665,96.65,0,0.0,9273,9032,97.4,39,0.42,5484,59.13,2226,24.0
O0,memcached,47,0,0.0,0,0.0,44,93.61,1,2.12,233,223,95.7,8,3.43,119,51.07,60,25.75
O0,node,8599,2277,26.47,140,1.62,7067,82.18,126,1.46,20638,15863,76.86,0,0.0,12704,61.55,3681,17.83
