opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O3,proftpd,136,122,89.7,6,4.41,117,86.02,1,0.73,1007,879,87.28,0,0.0,396,39.32,598,59.38
O3,vsftpd,18,18,100.0,0,0.0,18,100.0,0,0.0,314,246,78.34,0,0.0,182,57.96,103,32.8
O3,lighttpd,49,35,71.42,8,16.32,45,91.83,1,2.04,289,253,87.54,0,0.0,134,46.36,150,51.9
O3,nginx,240,186,77.5,27,11.25,221,92.08,0,0.0,908,681,75.0,0,0.0,496,54.62,394,43.39
O3,mysqld,6946,4956,71.35,727,10.46,5697,82.01,50,0.71,9703,6526,67.25,0,0.0,6703,69.08,2538,26.15
O3,postgres,613,535,87.27,29,4.73,577,94.12,3,0.48,6848,5802,84.72,0,0.0,4165,60.82,2526,36.88
O3,memcached,47,39,82.97,0,0.0,47,100.0,0,0.0,133,117,87.96,0,0.0,81,60.9,48,36.09
O3,node,8599,5886,68.44,489,5.68,7060,82.1,116,1.34,20638,15315,74.2,0,0.0,13796,66.84,5967,28.91
