target,opt,ct,problems,-0,-1,-2,-3,-4,-5,-6,void-ok,void-problem
proftpd,O0,1171,30,1132,5,2,2,0,0,0,1085,72
vsftpd,O0,392,0,389,2,1,0,0,0,0,322,54
lighttpd,O0,354,1,353,0,0,0,0,0,0,332,16
nginx,O0,1156,7,1148,1,0,0,0,0,0,1074,29
mysqld,O0,14155,30,13879,93,61,39,26,14,13,12266,757
postgres,O0,9320,20,9092,95,56,23,16,6,12,8331,642
memcached,O0,237,2,233,1,1,0,0,0,0,223,4
node,O0,20800,0,15212,3649,1143,510,138,84,64,15406,4210
