opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O0,proftpd,174,65,37.35,0,0.0,174,100.0,0,0.0,1171,1147,97.95,0,0.0,771,65.84,292,24.93
O0,vsftpd,2,0,0.0,0,0.0,2,100.0,0,0.0,391,388,99.23,0,0.0,208,53.19,90,23.01
O0,lighttpd,68,1,1.47,0,0.0,65,95.58,0,0.0,354,353,99.71,0,0.0,242,68.36,72,20.33
O0,nginx,283,24,8.48,0,0.0,265,93.63,0,0.0,1098,1090,99.27,0,0.0,668,60.83,296,26.95
O0,mysqld,6464,326,5.04,77,1.19,5980,92.51,17,0.26,13020,12754,97.95,2,0.01,8347,64.1,2202,16.91
O0,postgres,688,88,12.79,10,1.45,665,96.65,0,0.0,9273,9065,97.75,1,0.01,5477,59.06,2230,24.04
O0,memcached,47,0,0.0,0,0.0,44,93.61,1,2.12,233,230,98.71,0,0.0,119,51.07,60,25.75
O0,node,8599,2145,24.94,139,1.61,7060,82.1,116,1.34,20638,15185,73.57,172,0.83,12724,61.65,3660,17.73
