opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O1,proftpd,70,57,81.42,7,10.0,25,35.71,0,0.0,1171,1010,86.25,0,0.0,667,56.95,451,38.51
O1,vsftpd,2,2,100.0,0,0.0,2,100.0,0,0.0,392,288,73.46,0,0.0,270,68.87,69,17.6
O1,lighttpd,52,37,71.15,9,17.3,29,55.76,1,1.92,352,306,86.93,0,0.0,260,73.86,77,21.87
O1,nginx,216,170,78.7,26,12.03,103,47.68,0,0.0,1155,885,76.62,8,0.69,770,66.66,355,30.73
O1,mysqld,5401,4071,75.37,368,6.81,1593,29.49,25,0.46,12964,8708,67.17,4,0.03,9928,76.58,2402,18.52
O1,postgres,443,378,85.32,28,6.32,151,34.08,0,0.0,9311,7810,83.87,5,0.05,6578,70.64,2217,23.81
O1,memcached,44,40,90.9,0,0.0,34,77.27,0,0.0,236,207,87.71,1,0.42,178,75.42,30,12.71
O1,node,8599,5849,68.01,542,6.3,3456,40.19,16,0.18,20800,15212,73.13,0,0.0,15404,74.05,4212,20.25
