target,opt,fn,fn not in clang,fn not in padyn,at,at not in clang,at not in padyn,cs,cs discarded clang,cs discarded padyn
proftpd,O2,1015,0 (0.0\%),15 (1.45\%),388,2 (0.51\%),3 (0.76\%),112,7 (5.88\%),15 (11.81\%)
vsftpd,O2,318,0 (0.0\%),0 (0.0\%),9,1 (10.0\%),0 (0.0\%),14,0 (0.0\%),1 (6.66\%)
lighttpd,O2,290,0 (0.0\%),311 (51.74\%),55,4 (6.77\%),0 (0.0\%),48,7 (12.72\%),8 (14.28\%)
nginx,O2,921,0 (0.0\%),0 (0.0\%),479,64 (11.78\%),0 (0.0\%),234,3 (1.26\%),7 (2.9\%)
mysqld,O2,9742,13 (0.13\%),3690 (27.47\%),5747,132 (2.24\%),363 (5.94\%),6497,1507 (18.82\%),1070 (14.14\%)
postgres,O2,6930,1 (0.01\%),1512 (17.91\%),562,1928 (77.42\%),4 (0.7\%),526,152 (22.41\%),105 (16.64\%)
memcached,O2,133,0 (0.0\%),91 (40.62\%),11,3 (21.42\%),0 (0.0\%),3,94 (96.9\%),45 (93.75\%)
node,O2,20638,339 (1.61\%),620 (2.91\%),7005,522 (6.93\%),420 (5.65\%),8599,1983 (18.73\%),1894 (18.05\%)
