opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,112,100,89.28,4,3.57,95,84.82,0,0.0,1015,846,83.34,30,2.95,566,55.76,414,40.78
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,318,232,72.95,0,0.0,205,64.46,58,18.23
O2,lighttpd,48,34,70.83,8,16.66,45,93.75,0,0.0,290,250,86.2,1,0.34,210,72.41,71,24.48
O2,nginx,234,181,77.35,28,11.96,215,91.88,0,0.0,921,686,74.48,7,0.76,611,66.34,284,30.83
O2,mysqld,6671,4789,71.78,673,10.08,5459,81.83,0,0.0,9742,6491,66.62,29,0.29,7364,75.59,1823,18.71
O2,postgres,565,489,86.54,30,5.3,536,94.86,0,0.0,6930,5740,82.82,13,0.18,5007,72.25,1628,23.49
