target,opt,cs,problems,+0,+1,+2,+3,+4,+5,+6,non-void-ok,non-void-problem
proftpd,O2,112,4,100,0,6,2,0,0,0,101,1
vsftpd,O2,14,0,14,0,0,0,0,0,0,14,0
lighttpd,O2,48,8,34,0,0,1,0,5,0,44,1
nginx,O2,234,31,173,12,14,2,0,2,0,215,0
mysqld,O2,6671,688,4756,230,139,239,224,395,0,5446,54
postgres,O2,565,30,489,9,11,14,2,10,0,536,1
memcached,O2,47,0,44,1,0,0,2,0,0,47,0
node,O2,8599,542,5849,566,269,842,318,213,0,7000,146
