opt,target,at,count safe avg,count safe sig,count safe median,count prec avg,count prec sig,count prec median,count* avg,count* sig,count* median,type safe avg,type safe sig,type safe median,type prec avg,type prec sig,type prec median,type* avg,type* sig,type* median
O3,proftpd,1007,940.87,37.63,927.0,850.33,167.8,927.0,831.04,160.34,912.0,877.16,145.32,927.0,802.66,199.76,927.0,777.46,200.02,912.0
O3,vsftpd,314,296.83,26.16,303.0,227.0,53.74,189.0,217.33,59.86,175.0,236.66,84.39,303.0,167.0,31.11,189.0,143.0,45.25,175.0
O3,lighttpd,289,268.93,22.94,284.0,192.0,94.58,226.0,183.22,69.86,222.0,245.75,53.85,152.0,172.93,92.14,148.0,166.46,64.46,140.0
O3,nginx,908,779.63,215.74,900.0,555.54,259.3,900.0,514.2,240.9,508.0,710.95,238.94,481.0,496.77,229.29,350.0,514.2,240.9,508.0
O3,mysqld,9703,8528.42,1308.98,8516.0,6843.91,2298.87,9703.0,6064.58,1986.4,4294.0,8053.65,1516.42,8709.0,6460.57,2151.52,2150.0,5654.4,1756.96,4294.0
O3,postgres,6848,5985.35,509.83,5942.0,4789.06,1645.87,5211.0,4652.45,1579.86,5108.0,5608.85,1116.93,5942.0,4453.99,1717.95,5211.0,4245.49,1724.2,5108.0
O3,memcached,133,126.08,5.04,129.0,120.91,12.58,129.0,117.14,16.02,129.0,96.23,14.3,90.0,92.55,12.8,90.0,79.93,11.99,71.0
O3,node,20638,18232.43,2452.4,14996.0,15325.62,4407.39,14996.0,12841.45,4441.18,14062.0,16585.32,3540.84,17944.0,13928.35,4307.4,14996.0,10977.88,4143.54,14062.0
