opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O3,proftpd,136,122,89.7,6,4.41,117,86.02,1,0.73,1007,871,86.49,0,0.0,550,54.61,421,41.8
O3,vsftpd,18,18,100.0,0,0.0,18,100.0,0,0.0,315,230,73.01,0,0.0,200,63.49,57,18.09
O3,lighttpd,49,35,71.42,8,16.32,45,91.83,1,2.04,289,253,87.54,0,0.0,211,73.01,70,24.22
O3,nginx,240,175,72.91,33,13.75,217,90.41,2,0.83,908,677,74.55,0,0.0,603,66.4,279,30.72
O3,mysqld,6946,4949,71.24,744,10.71,5675,81.7,61,0.87,9894,6629,67.0,0,0.0,7524,76.04,1816,18.35
O3,postgres,613,540,88.09,29,4.73,577,94.12,3,0.48,6857,5695,83.05,1,0.01,4967,72.43,1593,23.23
O3,memcached,47,44,93.61,0,0.0,47,100.0,0,0.0,133,117,87.96,0,0.0,102,76.69,19,14.28
O3,node,8599,5848,68.0,543,6.31,6998,81.38,147,1.7,20800,15212,73.13,0,0.0,15406,74.06,4210,20.24
