target,opt,cs,problems,+0,+1,+2,+3,+4,+5,+6,non-void-ok,non-void-problem
proftpd,O1,70,7,57,0,4,2,0,0,0,65,1
vsftpd,O1,2,0,2,0,0,0,0,0,0,2,0
lighttpd,O1,52,9,37,0,1,0,0,5,0,48,1
nginx,O1,216,25,172,9,7,1,0,2,0,201,0
mysqld,O1,5401,366,4075,204,119,181,126,330,0,4518,88
postgres,O1,443,27,380,5,13,5,2,11,0,416,2
memcached,O1,44,0,40,2,0,0,2,0,0,44,0
node,O1,8599,493,5947,546,257,830,314,212,0,7060,116
