opt,target,at,count avg,count sig,count* avg,count* sig,type avg,type sig,type* avg,type* sig
O0,proftpd,394,272.36,55.35,346.16,57.93,267.26,54.85,331.64,65.33
O0,vsftpd,10,10.0,0.0,8.0,2.0,10.0,0.0,5.0,1.0
O0,lighttpd,59,53.67,11.67,34.07,14.73,40.64,16.74,31.61,13.15
O0,nginx,544,371.84,155.48,314.71,149.58,322.56,149.14,314.71,149.58
O0,mysqld,5940,5225.44,470.96,4232.81,1083.11,4409.91,1087.74,3975.87,989.95
O0,postgres,2521,2360.18,350.61,2230.56,409.18,2257.31,414.8,2100.66,594.48
O0,memcached,14,13.7,1.02,12.27,2.35,13.53,1.39,10.27,0.96
O0,node,7524,5992.81,1419.1,5065.06,1547.56,5582.4,1472.68,4359.79,1498.04
