opt,target,at,count safe avg,count safe sig,count safe median,count prec avg,count prec sig,count prec median,count* avg,count* sig,count* median,type safe avg,type safe sig,type safe median,type prec avg,type prec sig,type prec median,type* avg,type* sig,type* median
O1,proftpd,391,385.68,3.12,383.0,342.08,87.9,363.0,340.31,73.09,352.0,373.47,46.33,389.0,331.12,96.19,363.0,326.5,88.13,352.0
O1,vsftpd,10,10.0,0.0,10.0,9.0,1.0,9.0,8.0,2.0,8.0,8.5,1.5,8.0,7.5,0.5,7.0,5.0,1.0,5.0
O1,lighttpd,59,55.15,2.1,54.0,37.65,20.53,59.0,35.11,15.19,21.0,52.26,8.22,59.0,35.07,20.06,59.0,32.98,13.93,21.0
O1,nginx,544,495.58,115.68,544.0,347.6,152.56,305.0,318.94,151.36,267.0,459.81,133.12,453.0,315.11,134.33,363.0,318.94,151.36,267.0
O1,mysqld,5917,5553.05,480.22,5549.0,4714.82,1094.78,4858.0,4149.06,1057.63,3195.0,5350.34,623.0,5917.0,4539.43,1037.69,1581.0,3934.67,945.29,3195.0
O1,postgres,2506,2447.85,59.68,2447.0,2220.39,479.96,2348.0,2234.23,340.85,2298.0,2305.55,452.87,2447.0,2081.33,609.8,2348.0,2056.97,620.02,2298.0
O1,memcached,15,14.72,0.44,15.0,14.31,1.2,15.0,13.5,2.27,15.0,12.4,1.15,12.0,11.93,1.35,12.0,11.36,0.93,12.0
O1,node,7526,6952.22,763.61,5938.0,5994.27,1419.58,5938.0,5067.06,1547.57,5520.0,6373.63,1182.92,6956.0,5498.44,1397.89,5938.0,4361.77,1498.09,5520.0
