opt,target,at,count safe avg,count safe sig,count safe median,count prec avg,count prec sig,count prec median,count* avg,count* sig,count* median,type safe avg,type safe sig,type safe median,type prec avg,type prec sig,type prec median,type* avg,type* sig,type* median
O2,proftpd,390,384.17,3.0,385.0,366.16,48.39,382.0,348.55,59.5,369.0,372.68,37.23,382.0,356.23,59.79,382.0,333.11,72.18,369.0
O2,vsftpd,10,9.71,1.03,10.0,7.14,1.8,6.0,7.14,1.8,6.0,8.0,2.72,10.0,5.42,0.9,6.0,5.42,0.9,6.0
O2,lighttpd,59,55.18,4.87,59.0,39.31,21.2,50.0,36.87,15.13,47.0,51.97,9.43,38.0,36.39,20.72,36.0,34.55,14.03,33.0
O2,nginx,543,487.48,120.95,543.0,347.76,152.94,543.0,313.87,150.2,266.0,448.69,135.53,362.0,316.36,135.22,362.0,313.87,150.2,266.0
O2,mysqld,5879,5453.45,640.11,5517.0,4615.36,1165.18,5879.0,4103.38,1054.55,3167.0,5225.39,747.58,5879.0,4427.54,1097.93,1885.0,3882.72,937.79,3167.0
O2,postgres,2490,2430.1,64.27,2431.0,2083.21,640.18,2332.0,2056.06,670.46,2284.0,2297.05,450.04,2431.0,1954.39,722.62,2332.0,1885.18,812.27,2284.0
O2,memcached,14,13.68,0.46,14.0,13.12,1.33,14.0,12.27,2.35,14.0,12.06,0.8,12.0,11.53,1.31,12.0,10.27,0.96,11.0
O2,node,7528,6949.22,774.38,5940.0,5995.79,1419.43,5940.0,5068.77,1547.25,5522.0,6368.22,1189.75,6957.0,5500.11,1397.84,5940.0,4363.56,1497.97,5522.0
