opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,112,100,89.28,4,3.57,95,84.82,0,0.0,1015,874,86.1,0,0.0,566,55.76,414,40.78
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,318,232,72.95,0,0.0,205,64.46,58,18.23
O2,lighttpd,48,34,70.83,8,16.66,45,93.75,0,0.0,290,251,86.55,0,0.0,210,72.41,71,24.48
O2,nginx,234,181,77.35,27,11.53,215,91.88,0,0.0,921,691,75.02,0,0.0,611,66.34,284,30.83
O2,mysqld,6671,4758,71.32,673,10.08,5459,81.83,0,0.0,9742,6512,66.84,1,0.01,7364,75.59,1823,18.71
O2,postgres,565,484,85.66,30,5.3,536,94.86,0,0.0,6930,5752,83.0,0,0.0,5007,72.25,1628,23.49
O2,memcached,47,39,82.97,0,0.0,47,100.0,0,0.0,133,117,87.96,0,0.0,102,76.69,19,14.28
O2,node,8599,5886,68.44,489,5.68,7138,83.0,3,0.03,20638,15124,73.28,0,0.0,15274,74.0,4192,20.31
