opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O3,proftpd,136,100,73.52,33,24.26,24,17.64,0,0.0,1007,124,12.31,0,0.0,550,54.61,421,41.8
O3,vsftpd,18,18,100.0,0,0.0,18,100.0,0,0.0,314,31,9.87,0,0.0,200,63.69,57,18.15
O3,lighttpd,49,33,67.34,11,22.44,26,53.06,0,0.0,289,16,5.53,0,0.0,211,73.01,70,24.22
O3,nginx,240,141,58.75,78,32.5,64,26.66,0,0.0,908,10,1.1,0,0.0,603,66.4,279,30.72
O3,mysqld,6946,4047,58.26,1530,22.02,1772,25.51,0,0.0,9703,136,1.4,0,0.0,7336,75.6,1815,18.7
O3,postgres,613,433,70.63,97,15.82,204,33.27,0,0.0,6848,472,6.89,0,0.0,4959,72.41,1594,23.27
O3,memcached,47,3,6.38,16,34.04,44,93.61,0,0.0,133,21,15.78,0,0.0,102,76.69,19,14.28
O3,node,8599,4713,54.8,2036,23.67,4018,46.72,1,0.01,20638,879,4.25,0,0.0,15274,74.0,4192,20.31
