opt,target,at,count avg,count sig,count* avg,count* sig,type avg,type sig,type* avg,type* sig
O2,proftpd,1015,862.14,158.04,835.01,167.84,840.02,169.5,783.55,188.11
O2,vsftpd,318,224.57,51.49,212.85,58.27,224.57,51.49,148.28,43.82
O2,lighttpd,290,192.18,96.06,182.93,70.83,184.27,100.59,167.39,65.47
O2,nginx,921,559.46,262.55,520.19,243.08,475.86,249.91,520.19,243.08
O2,mysqld,9742,6889.73,2289.89,6065.19,1985.69,6436.0,2379.43,5658.68,1749.55
O2,postgres,6930,4800.62,1718.52,4654.53,1641.72,4594.2,1787.5,4221.78,1776.03
O2,memcached,133,120.91,12.58,117.14,16.02,120.91,12.58,79.93,11.99
O2,node,20638,15325.62,4407.39,12841.45,4441.18,14017.58,4595.25,10977.88,4143.54
