target,opt,ct,problems,-0,-1,-2,-3,-4,-5,-6,void-ok,void-problem
proftpd,O1,1171,0,1010,105,39,6,10,0,1,667,451
vsftpd,O1,392,0,288,79,18,5,1,0,1,270,69
lighttpd,O1,352,0,306,38,5,3,0,0,0,260,77
nginx,O1,1155,8,885,209,44,9,0,0,0,770,355
mysqld,O1,12964,4,8708,2746,1071,280,60,42,53,9928,2402
postgres,O1,9311,5,7810,1088,238,101,42,10,17,6578,2217
memcached,O1,236,1,207,21,2,4,0,1,0,178,30
node,O1,20800,0,15212,3649,1143,510,138,84,64,15406,4210
