target,opt,fn,fn not in clang,fn not in padyn,at,at not in clang,at not in padyn,cs,cs discarded clang,cs discarded padyn
proftpd,O1,1171,3 (0.25\%),19 (1.59\%),388,3 (0.76\%),3 (0.76\%),70,5 (6.66\%),14 (16.66\%)
vsftpd,O1,391,3 (0.76\%),0 (0.0\%),9,1 (10.0\%),0 (0.0\%),2,0 (0.0\%),0 (0.0\%)
lighttpd,O1,352,2 (0.56\%),469 (57.12\%),55,4 (6.77\%),0 (0.0\%),52,1 (1.88\%),2 (3.7\%)
nginx,O1,1097,3 (0.27\%),0 (0.0\%),479,65 (11.94\%),0 (0.0\%),216,4 (1.81\%),6 (2.7\%)
mysqld,O1,12682,16 (0.12\%),5444 (30.03\%),5777,140 (2.36\%),362 (5.89\%),5401,926 (14.63\%),841 (13.47\%)
postgres,O1,9265,4 (0.04\%),2118 (18.6\%),572,1934 (77.17\%),3 (0.52\%),443,65 (12.79\%),58 (11.57\%)
memcached,O1,232,1 (0.42\%),88 (27.5\%),11,4 (26.66\%),0 (0.0\%),44,3 (6.38\%),4 (8.33\%)
node,O1,20638,339 (1.61\%),620 (2.91\%),7005,521 (6.92\%),420 (5.65\%),8599,1983 (18.73\%),1894 (18.05\%)
