opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O1,proftpd,70,57,81.42,7,10.0,65,92.85,1,1.42,1171,1027,87.7,0,0.0,491,41.92,653,55.76
O1,vsftpd,2,2,100.0,0,0.0,2,100.0,0,0.0,391,306,78.26,0,0.0,235,60.1,123,31.45
O1,lighttpd,52,37,71.15,9,17.3,48,92.3,1,1.92,352,309,87.78,0,0.0,203,57.67,141,40.05
O1,nginx,216,172,79.62,24,11.11,201,93.05,0,0.0,1097,854,77.84,1,0.09,570,51.95,509,46.39
O1,mysqld,5401,4038,74.76,362,6.7,4518,83.65,88,1.62,12682,8984,70.84,3,0.02,8669,68.35,3571,28.15
O1,postgres,443,375,84.65,27,6.09,416,93.9,2,0.45,9265,7952,85.82,1,0.01,5384,58.11,3646,39.35
O1,memcached,44,39,88.63,0,0.0,44,100.0,0,0.0,232,206,88.79,0,0.0,143,61.63,77,33.18
O1,node,8599,5886,68.44,489,5.68,7060,82.1,116,1.34,20638,15315,74.2,0,0.0,13843,67.07,5882,28.5
