target,opt,fn,fn not in clang,fn not in padyn,at,at not in clang,at not in padyn,cs,cs discarded clang,cs discarded padyn
proftpd,O0,1171,3 (0.25\%),19 (1.59\%),392,2 (0.5\%),2 (0.5\%),174,0 (0.0\%),0 (0.0\%)
vsftpd,O0,391,3 (0.76\%),0 (0.0\%),9,1 (10.0\%),0 (0.0\%),2,0 (0.0\%),0 (0.0\%)
lighttpd,O0,354,2 (0.56\%),472 (57.14\%),55,4 (6.77\%),4 (6.77\%),68,0 (0.0\%),0 (0.0\%)
nginx,O0,1098,3 (0.27\%),0 (0.0\%),479,65 (11.94\%),0 (0.0\%),283,0 (0.0\%),0 (0.0\%)
mysqld,O0,13020,16 (0.12\%),5453 (29.51\%),5795,145 (2.44\%),375 (6.07\%),6464,1269 (16.41\%),437 (6.33\%)
postgres,O0,9273,4 (0.04\%),2119 (18.6\%),574,1947 (77.23\%),1 (0.17\%),688,1 (0.14\%),0 (0.0\%)
memcached,O0,233,1 (0.42\%),87 (27.18\%),11,3 (21.42\%),0 (0.0\%),47,9 (16.07\%),4 (7.84\%)
node,O0,20638,339 (1.61\%),620 (2.91\%),7005,519 (6.89\%),420 (5.65\%),8599,1983 (18.73\%),1894 (18.05\%)
