target,opt,ct,problems,-0,-1,-2,-3,-4,-5,-6,void-ok,void-problem
proftpd,O3,1007,0,871,86,33,6,10,0,1,550,421
vsftpd,O3,315,0,230,69,13,1,1,0,1,200,57
lighttpd,O3,289,0,253,32,4,0,0,0,0,211,70
nginx,O3,908,0,677,190,37,4,0,0,0,603,279
mysqld,O3,9894,0,6629,2450,522,198,44,21,30,7524,1816
postgres,O3,6857,1,5695,869,166,83,28,4,11,4967,1593
memcached,O3,133,0,117,11,2,2,0,1,0,102,19
node,O3,20800,0,15212,3649,1143,510,138,84,64,15406,4210
