opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,112,100,89.28,4,3.57,29,25.89,0,0.0,1015,874,86.1,0,0.0,566,55.76,414,40.78
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,319,232,72.72,0,0.0,205,64.26,58,18.18
O2,lighttpd,48,34,70.83,8,16.66,26,54.16,0,0.0,290,251,86.55,0,0.0,210,72.41,71,24.48
O2,nginx,234,173,73.93,31,13.24,114,48.71,0,0.0,921,691,75.02,0,0.0,611,66.34,284,30.83
O2,mysqld,6671,4756,71.29,688,10.31,2010,30.13,11,0.16,9933,6666,67.1,1,0.01,7552,76.02,1824,18.36
O2,postgres,565,489,86.54,30,5.3,195,34.51,1,0.17,6941,5762,83.01,1,0.01,5015,72.25,1629,23.46
O2,memcached,47,44,93.61,0,0.0,34,72.34,0,0.0,133,117,87.96,0,0.0,102,76.69,19,14.28
O2,node,8599,5849,68.01,542,6.3,3456,40.19,16,0.18,20800,15212,73.13,0,0.0,15405,74.06,4211,20.24
