opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,155,125,80.64,0,0.0,119,76.77,1,0.64,1015,890,87.68,0,0.0,811,79.9,79,7.78
O2,vsftpd,14,13,92.85,0,0.0,14,100.0,0,0.0,318,249,78.3,0,0.0,181,56.91,39,12.26
O2,lighttpd,66,25,37.87,0,0.0,56,84.84,1,1.51,290,268,92.41,0,0.0,236,81.37,17,5.86
O2,nginx,266,86,32.33,0,0.0,225,84.58,0,0.0,921,724,78.61,0,0.0,715,77.63,61,6.62
O2,mysqld,7923,4535,57.23,0,0.0,6191,78.13,43,0.54,9742,6750,69.28,1,0.01,7405,76.01,567,5.82
O2,postgres,687,419,60.98,0,0.0,622,90.53,3,0.43,6930,5999,86.56,0,0.0,4596,66.32,867,12.51
O2,memcached,48,35,72.91,0,0.0,48,100.0,0,0.0,133,117,87.96,0,0.0,68,51.12,18,13.53
O2,node,10965,4970,45.32,1,0.0,8743,79.73,136,1.24,20638,15852,76.8,0,0.0,13739,66.57,1753,8.49
O2,geomean,319.7,181.05,56.62,0.0,0.0,276.25,86.4,0.0,0.0,1413.94,1157.81,81.88,0.0,0.0,970.59,68.63,122.14,8.63
