opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,155,131,84.51,0,0.0,113,72.9,0,0.0,1015,881,86.79,0,0.0,822,80.98,42,4.13
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,318,233,73.27,0,0.0,163,51.25,20,6.28
O2,lighttpd,66,49,74.24,0,0.0,57,86.36,0,0.0,290,266,91.72,0,0.0,227,78.27,5,1.72
O2,nginx,266,131,49.24,0,0.0,225,84.58,0,0.0,921,720,78.17,0,0.0,738,80.13,9,0.97
O2,mysqld,7923,4997,63.06,0,0.0,6180,78.0,0,0.0,9742,6683,68.59,1,0.01,7038,72.24,266,2.73
O2,postgres,687,509,74.09,0,0.0,624,90.82,0,0.0,6930,5867,84.66,0,0.0,4701,67.83,176,2.53
O2,memcached,48,40,83.33,0,0.0,48,100.0,0,0.0,133,117,87.96,0,0.0,66,49.62,2,1.5
O2,node,10965,6011,54.81,1,0.0,8843,80.64,1,0.0,20638,15625,75.7,0,0.0,13352,64.69,960,4.65
O2,geomean,319.7,227.59,71.18,0.0,0.0,275.52,86.17,0.0,0.0,1413.94,1138.26,80.49,0.0,0.0,948.38,67.06,36.84,2.59
