opt,target,cs,cs args perfect,cs args perfect pct,cs args problem,cs args problem pct,cs non-void correct,cs non-void correct pct,cs non-void problem,cs non-void problem pct,ct,ct args perfect,ct args perfect pct,ct args problem,ct args problem pct,ct void correct,ct void correct pct,ct void problem,ct void problem pct
O2,proftpd,155,129,83.22,0,0.0,119,76.77,1,0.64,1015,890,87.68,0,0.0,807,79.5,84,8.27
O2,vsftpd,14,14,100.0,0,0.0,14,100.0,0,0.0,318,249,78.3,0,0.0,181,56.91,39,12.26
O2,lighttpd,66,45,68.18,0,0.0,56,84.84,1,1.51,290,268,92.41,0,0.0,236,81.37,17,5.86
O2,nginx,266,91,34.21,0,0.0,225,84.58,0,0.0,921,724,78.61,0,0.0,715,77.63,61,6.62
O2,mysqld,7923,4535,57.23,0,0.0,6191,78.13,43,0.54,9742,6750,69.28,1,0.01,7405,76.01,567,5.82
O2,postgres,687,419,60.98,0,0.0,622,90.53,3,0.43,6930,5999,86.56,0,0.0,4596,66.32,867,12.51
O2,memcached,48,40,83.33,0,0.0,48,100.0,0,0.0,133,117,87.96,0,0.0,65,48.87,18,13.53
O2,node,10965,4970,45.32,1,0.0,8743,79.73,136,1.24,20638,15852,76.8,0,0.0,13739,66.57,1753,8.49
O2,geomean,319.7,202.19,63.24,0.0,0.0,276.25,86.4,0.0,0.0,1413.94,1157.81,81.88,0.0,0.0,964.53,68.21,123.08,8.7
